Graph Name,Density,Node Count,Edge Count,DFS Time (ms),BFS Time (ms),Start Node
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_472.txt,0.007584245638043106,1185,10641,3.737,4.632,327
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_165.txt,0.006006582999484637,1493,13380,5.179,5.359,1218
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_473.txt,0.007909829972692347,1131,10109,4.203,4.222,932
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_166.txt,0.008690018555932748,1034,9282,3.743,3.951,648
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_470.txt,0.006766917293233083,1330,11961,5.093,5.453,949
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_167.txt,0.006169995814571471,1462,13179,4.719,4.895,553
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_471.txt,0.007436858173744102,1201,10718,4.532,4.629,623
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_168.txt,0.0076247779912283885,1175,10518,4.814,4.723,1161
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_169.txt,0.0068075827603835196,1314,11745,5.364,5.575,374
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_17.txt,0.006520084566596194,1376,12336,4.907,5.016,628
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_374.txt,0.007040833494153566,1272,11383,3.902,5.021,939
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_170.txt,0.008333897372618236,1074,9604,3.699,3.748,997
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_462.txt,0.0063634121843104,1413,12696,4.812,5.536,1362
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_171.txt,0.007354941976790716,1225,11028,4.879,4.075,938
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_463.txt,0.006278581091354232,1433,12884,5.326,5.459,482
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_172.txt,0.007793678327069481,1153,10352,3.745,4.236,542
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_460.txt,0.007067409256769733,1271,11408,4.302,4.838,1225
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_173.txt,0.008365163916677493,1075,9658,3.422,4.158,305
